Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Africa,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,,,,,,,,,,,,Oceania,,,,,,,,,,,,,,,,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Africa Total,,,,,North America Total,,,,,U.S.A.,,,,,Canada,,,,,Mexico,,,,,North America Unclassified,,,,,South America Total,,,,,Brazil,,,,,South America Unclassified,,,,,Oceania Total,,,,,Australia,,,,,New Zealand,,,,,Oceania Unclassified,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996　Jan．,933 ,196 ,260 ,463 ,14 ,"52,945 ","18,458 ","20,958 ","13,513 ",16 ,"44,265 ","14,482 ","19,187 ","10,596 ",0 ,"7,879 ","3,652 ","1,545 ","2,675 ",7 ,509 ,206 ,150 ,153 ,0 ,292 ,118 ,76 ,,,"5,169 ","4,014 ",314 ,752 ,89 ,"3,984 ","3,356 ",172 ,390 ,66 ,"1,185 ",658 ,142 ,362 ,23 ,"8,762 ","3,011 ","1,861 ","2,491 ","1,399 ","6,676 ","2,164 ","1,292 ","1,834 ","1,386 ","1,940 ",821 ,539 ,579 ,1 ,146 ,26 ,30 ,78 ,12 ,183 ,41 ,35 ,15 ,92 ,"276,086 ","122,537 ","82,543 ","61,003 ","10,003 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,748 ,126 ,328 ,278 ,16 ,"43,793 ","19,291 ","20,581 ","3,916 ",5 ,"37,176 ","15,117 ","18,847 ","3,209 ",3 ,"5,892 ","3,766 ","1,557 ",569 ,0 ,483 ,287 ,116 ,80 ,0 ,242 ,121 ,61 ,,,"4,954 ","3,951 ",348 ,583 ,72 ,"4,013 ","3,469 ",168 ,317 ,59 ,941 ,482 ,180 ,266 ,13 ,"6,984 ","2,366 ","2,305 ",918 ,"1,395 ","5,194 ","1,591 ","1,548 ",668 ,"1,387 ","1,677 ",739 ,726 ,208 ,4 ,113 ,36 ,31 ,42 ,4 ,230 ,66 ,30 ,20 ,114 ,"283,667 ","163,214 ","82,504 ","29,211 ","8,738 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,990 ,164 ,498 ,309 ,19 ,"60,245 ","29,758 ","24,022 ","6,461 ",4 ,"51,507 ","24,431 ","21,848 ","5,226 ",2 ,"7,567 ","4,673 ","1,852 ","1,041 ",1 ,818 ,488 ,222 ,108 ,0 ,353 ,166 ,100 ,,,"6,260 ","4,828 ",618 ,745 ,69 ,"5,082 ","4,238 ",324 ,477 ,43 ,"1,178 ",590 ,294 ,268 ,26 ,"10,802 ","4,324 ","2,824 ","1,450 ","2,204 ","8,205 ","3,065 ","1,903 ","1,045 ","2,192 ","2,441 ","1,203 ",885 ,353 ,0 ,156 ,56 ,36 ,52 ,12 ,198 ,57 ,48 ,20 ,73 ,"310,702 ","157,561 ","98,843 ","45,937 ","8,361 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,956 ,224 ,415 ,307 ,10 ,"60,792 ","31,098 ","21,998 ","7,693 ",3 ,"52,141 ","25,721 ","20,073 ","6,347 ",0 ,"7,698 ","4,832 ","1,698 ","1,168 ",0 ,634 ,400 ,145 ,89 ,0 ,319 ,145 ,82 ,,,"6,330 ","5,167 ",471 ,618 ,74 ,"4,967 ","4,321 ",232 ,357 ,57 ,"1,363 ",846 ,239 ,261 ,17 ,"9,563 ","4,154 ","2,418 ","1,520 ","1,471 ","6,929 ","2,796 ","1,596 ","1,081 ","1,456 ","2,373 ","1,242 ",781 ,350 ,0 ,261 ,116 ,41 ,89 ,15 ,209 ,91 ,45 ,19 ,54 ,"329,303 ","187,419 ","93,760 ","40,897 ","7,227 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,104 ",198 ,494 ,394 ,18 ,"60,412 ","30,663 ","23,456 ","6,287 ",6 ,"51,872 ","25,643 ","21,258 ","4,969 ",2 ,"7,400 ","4,457 ","1,885 ","1,058 ",0 ,655 ,364 ,190 ,101 ,0 ,485 ,199 ,123 ,,,"5,632 ","4,535 ",570 ,463 ,64 ,"4,114 ","3,585 ",275 ,204 ,50 ,"1,518 ",950 ,295 ,259 ,14 ,"9,693 ","3,328 ","3,031 ","1,051 ","2,283 ","7,285 ","2,226 ","2,032 ",758 ,"2,269 ","2,197 ","1,030 ",956 ,211 ,0 ,211 ,72 ,43 ,82 ,14 ,222 ,71 ,51 ,23 ,77 ,"326,156 ","175,515 ","103,896 ","37,782 ","8,963 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,996 ,247 ,416 ,318 ,15 ,"59,248 ","31,918 ","22,509 ","4,810 ",11 ,"52,069 ","27,618 ","20,589 ","3,855 ",7 ,"6,006 ","3,617 ","1,612 ",774 ,3 ,840 ,550 ,209 ,81 ,0 ,333 ,133 ,99 ,,,"5,529 ","4,456 ",514 ,457 ,102 ,"4,203 ","3,682 ",252 ,196 ,73 ,"1,326 ",774 ,262 ,261 ,29 ,"10,391 ","3,959 ","2,708 ",826 ,"2,898 ","8,018 ","2,701 ","1,867 ",579 ,"2,871 ","2,086 ","1,154 ",766 ,166 ,0 ,287 ,104 ,75 ,81 ,27 ,261 ,101 ,59 ,7 ,94 ,"316,699 ","179,698 ","97,263 ","27,567 ","12,171 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,278 ",515 ,420 ,324 ,19 ,"61,033 ","33,787 ","19,889 ","7,351 ",6 ,"51,786 ","27,646 ","18,298 ","5,839 ",3 ,"7,656 ","5,174 ","1,321 ","1,161 ",0 ,"1,031 ",737 ,171 ,123 ,0 ,560 ,230 ,99 ,,,"6,793 ","5,699 ",434 ,611 ,49 ,"5,477 ","4,821 ",249 ,378 ,29 ,"1,316 ",878 ,185 ,233 ,20 ,"10,365 ","4,281 ","2,577 ","1,177 ","2,330 ","7,686 ","2,777 ","1,775 ",823 ,"2,311 ","2,325 ","1,295 ",721 ,309 ,0 ,354 ,209 ,81 ,45 ,19 ,238 ,88 ,57 ,12 ,81 ,"377,070 ","240,945 ","88,648 ","32,753 ","14,724 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"1,237 ",371 ,308 ,530 ,28 ,"52,261 ","24,870 ","15,977 ","11,411 ",3 ,"44,269 ","20,288 ","14,698 ","9,283 ",0 ,"6,969 ","3,999 ","1,126 ","1,843 ",1 ,585 ,379 ,98 ,108 ,0 ,438 ,204 ,55 ,,,"5,536 ","4,277 ",431 ,701 ,127 ,"4,315 ","3,601 ",244 ,399 ,71 ,"1,221 ",676 ,187 ,302 ,56 ,"8,240 ","2,968 ","1,928 ","1,920 ","1,424 ","6,208 ","2,090 ","1,290 ","1,411 ","1,417 ","1,833 ",815 ,609 ,409 ,0 ,199 ,63 ,29 ,100 ,7 ,318 ,168 ,38 ,32 ,80 ,"345,020 ","207,538 ","67,997 ","56,402 ","13,083 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"1,430 ",274 ,495 ,645 ,16 ,"56,547 ","25,608 ","23,843 ","7,085 ",11 ,"48,859 ","21,625 ","21,740 ","5,489 ",5 ,"6,464 ","3,342 ","1,778 ","1,344 ",0 ,749 ,431 ,194 ,124 ,0 ,475 ,210 ,131 ,,,"5,927 ","4,750 ",559 ,544 ,74 ,"4,386 ","3,808 ",301 ,235 ,42 ,"1,541 ",942 ,258 ,309 ,32 ,"12,767 ","6,067 ","3,235 ","1,294 ","2,171 ","9,969 ","4,628 ","2,223 ",971 ,"2,147 ","2,532 ","1,376 ",928 ,228 ,0 ,266 ,63 ,84 ,95 ,24 ,188 ,60 ,67 ,17 ,44 ,"311,881 ","157,675 ","99,103 ","47,005 ","8,098 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"1,488 ",328 ,608 ,539 ,13 ,"69,983 ","37,220 ","27,360 ","5,400 ",3 ,"60,331 ","31,443 ","24,639 ","4,248 ",1 ,"8,319 ","5,007 ","2,376 ",935 ,1 ,862 ,530 ,224 ,107 ,1 ,471 ,240 ,121 ,,,"4,628 ","3,227 ",890 ,428 ,83 ,"2,951 ","2,244 ",453 ,198 ,56 ,"1,677 ",983 ,437 ,230 ,27 ,"9,858 ","3,841 ","3,275 ","1,231 ","1,511 ","7,602 ","2,956 ","2,177 ",971 ,"1,498 ","1,951 ",817 ,954 ,180 ,0 ,305 ,68 ,144 ,80 ,13 ,229 ,73 ,93 ,27 ,36 ,"366,841 ","199,267 ","119,618 ","40,104 ","7,852 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
